sentence,created_at,ave_sentiment,user_username
"RT @dropshotthenlob: Heeding ⁦@GretaThunberg⁩’s call for #ClimateStrike — Week 6 at State House in Boston MA

#FridaysForFuture
#ClimateStr…",2019-01-26T09:28:45.000Z,0,Fridays4future
"RT @guardian: 16-year-old activist @GretaThunberg, who has been camping outside the World Economic Forum in Davos, urges politicians to act…",2019-01-26T09:28:39.000Z,-0.010910895,Fridays4future
"RT @NPR: ""Adults keep saying we owe it to the young people to give them hope,"" said 16-year-old Greta Thunberg at the World Economic Forum.…",2019-01-26T09:28:36.000Z,0.127475488,Fridays4future
"RT @GretaThunberg: My full speech at the World Economic Forum in print.
#wef19 #WhateverItTakes https://t.co/M3tJhHbZs4",2019-01-26T09:28:20.000Z,0,Fridays4future
RT @CarolineLucas: “I ask you to stand on the right side of history. I ask you to pledge to do everything in your power to push your own bu…,2019-01-26T09:28:17.000Z,0.142190039,Fridays4future
"RT @GretaThunberg: ""I told them that they belong to that group of people who are most responsible and that the future of humankind rests in…",2019-01-26T09:28:09.000Z,0.09,Fridays4future
RT @lillyspickup: Tomorrow I will #schoolstrike again for the 20th time. Now the papers came some have complained about me Let me tell the…,2019-01-25T19:19:33.000Z,-0.113509618,Fridays4future
RT @lillyspickup: The Burgermeester of Zeist came to my #schoolstrike! I gave him my reuseable bamboo straw set for him&amp;his wife so they ca…,2019-01-25T19:19:12.000Z,0,Fridays4future
RT @lillyspickup: It’s out @Mission_Mag and I am featured with @adriangrenier @duneives @lonelywhale @Doutzen @pcousteau @SylviaEarle I fee…,2019-01-25T19:19:06.000Z,-0.04472136,Fridays4future
RT @mittistockholm: Elever från Nacka inspireras av Greta Thunberg – demonstrerar för klimatet vid Mynttorget. https://t.co/eOiAL4HGS3,2019-01-25T19:18:18.000Z,0,Fridays4future
RT @GretaThunberg: Now onboard the Stockholm express! #wef https://t.co/j5qZy9AUi7,2019-01-25T19:18:12.000Z,0,Fridays4future
RT @gold_lgold: Dublin #ClimateStrike week 7! Re-energised by these awesome students today. Leading the way for #ClimateJustice #FridaysFor…,2019-01-25T19:18:09.000Z,0.177654967,Fridays4future
RT @A_Ahokas: #FridaysForFuture Today at Jokioinen Libary I organized #climatestrike and didn't expect that anyone would join me but there…,2019-01-25T19:17:58.000Z,0.043589024,Fridays4future
RT @guardian: 'I want you to panic': 16-year-old issues climate warning at Davos – video https://t.co/XiB8yve52E,2019-01-25T19:17:49.000Z,-0.305505046,Fridays4future
RT @klondyker: #Ullapool primary kids 8th week #SchoolStrike - @SadieMHarris &amp; Simon from @the_levellers offering moral support (and tiffin…,2019-01-25T19:17:44.000Z,0.275298881,Fridays4future
"RT @jimmerz50: We are unstoppable, another world is possible..

All generations coming together to stand for a transformation to loving our…",2019-01-25T19:17:39.000Z,0.124321536,Fridays4future
"RT @GretaThunberg: “Our house is on fire.”
A part of my speech at the World Economic Forum today. Thank you for inviting me! #wef https://t…",2019-01-25T19:17:34.000Z,0.13708051,Fridays4future
"RT @FossilFreeDe: This. is. AMAZING. 
The school strike in Berlin is huge 💚
#FridaysForFuture #Berlin https://t.co/rb6qlWYUnP",2019-01-25T19:17:26.000Z,0.04566621,Fridays4future
"RT @SPIEGELONLINE: ""Die Lösung ist so einfach, dass ein kleines Kind sie verstehen kann: Wir müssen den Ausstoß von CO2 stoppen"", sagte die…",2019-01-25T19:17:23.000Z,-0.2,Fridays4future
"RT @AlexandriaV2005: WIRED: Staying up late on Thursday night watching @GretaThunberg, @lillyspickup and @vanessadantes1 start their @Frida…",2019-01-25T19:16:28.000Z,-0.060633906,Fridays4future
"RT @wise_places: Grazie a #FridaysForFuture si “sciopera” contro il cambiamento climatico, ispirati da @gretathunberg. Questo è il primo ar…",2019-01-25T19:15:59.000Z,0.070447802,Fridays4future
"RT @AlexandriaV2005: WEEK 7 of my @UN #ClimateStrike! While @GretaThunberg puts billionaires on notice in Davos today #wef, I'm putting Ame…",2019-01-25T19:15:50.000Z,0,Fridays4future
"RT @GretaThunberg: School strike week 23.
#climatestrike #fridaysforfuture #schoolstrike4climate #wef https://t.co/M3gy3T1Xd1",2019-01-25T13:36:13.000Z,-0.183028759,Fridays4future
"RT @wef: ""Our house is on fire."" 16 year-old @GretaThunberg wants action https://t.co/ncDCXz2GTg #wef19 https://t.co/w3hquvA8KJ",2019-01-25T13:35:26.000Z,-0.016928606,Fridays4future
"RT @democracynow: ""Prove me wrong""—16-year-old Swedish climate activist @GretaThunberg is in Davos, Switzerland, where she’s calling on hea…",2019-01-25T09:14:42.000Z,-0.032732684,Fridays4future
"RT @janine_ok: Belgium there were 40.000 striking children and youth : 35.000 in Brussels, 2000 in Ghent, 1500 in Lieges, 1000 in Ostend, 7…",2019-01-25T09:14:38.000Z,0.212132034,Fridays4future
RT @AlexandriaV2005: ANNOUNCING MY FIRST EVENT! @zerohournyc &amp; I are organizing a massive #FridaysForFuture #SCHOOLSHUTDOWN #ClimateStrike…,2019-01-25T09:14:16.000Z,0,Fridays4future
RT @GretaThunberg: Today I have been invited to meet with Klaus Schwab and Christine Lagarde. Then I will speak to the @wef on “Preparing f…,2019-01-25T09:13:43.000Z,0,Fridays4future
"RT @GretaThunberg: A Belgian journalist just told me 35000 students are school striking in Brussels today.! Heroes!
#ClimateStrike #Fridays…",2019-01-24T14:11:14.000Z,0.328007602,Fridays4future
"RT @dpcarrington: School strikes over climate change continue to snowball

 - record 60,000 students in last week

 - @GretaThunberg in #Da…",2019-01-24T14:11:06.000Z,0.094280904,Fridays4future
"RT @brutofficiel: ""Il est insensé que des gens soient rassemblés ici pour parler du climat et qu'ils viennent ici en jet privé.""
Son discou…",2019-01-24T14:10:57.000Z,0,Fridays4future
RT @GretaThunberg: My full interview on Skavlan talk show. With english subtiles. https://t.co/hSvNUnXDHl,2019-01-23T08:52:12.000Z,0.065099492,Fridays4future
RT @GretaThunberg: Some people claim the right to steal the remaining carbon budget from future generations and people in poorer parts of t…,2019-01-23T08:52:01.000Z,-0.010425721,Fridays4future
"RT @wef: This is @GretaThunberg's message for Davos #wef19

https://t.co/m8QccY2yJp https://t.co/XASwQB11gw",2019-01-23T08:51:41.000Z,0,Fridays4future
"RT @GretaThunberg: Some people say that we are not doing enough to fight climate change.
But that is not true.
Because to ”not do enough” y…",2019-01-23T08:51:34.000Z,0.104397366,Fridays4future
"RT @janine_ok: Excellent more #ClimateStrike s! @Fridays4Future
The world is full of #Climatestrike rs! Germany is making a fantastic effor…",2019-01-23T08:51:00.000Z,0.348280053,Fridays4future
RT @GretaThunberg: They were 12500 according to the Belgian police. And they were students on school strike for the climate. https://t.co/Z…,2019-01-20T11:32:13.000Z,-0.113150213,Fridays4future
RT @Marcus_MoD: @GretaThunberg #FridaysForFuture #vienna #schulstreik #today #extinctionrebellion https://t.co/VgNsQceDfu,2019-01-20T11:32:08.000Z,0,Fridays4future
RT @GretaThunberg: A short part of my interview on @SKAVLANTVShow with english subtitles. https://t.co/mqjWwVcBUv,2019-01-20T11:32:04.000Z,0,Fridays4future
"RT @MelanieBergma18: “What do we want? #ClimateJustice! When do we want it? Now!"" Several hundred pupils chant again during their #climates…",2019-01-19T22:14:52.000Z,0,Fridays4future
"RT @GretaThunberg: Another week, another instagram story. Almost 70 000 students this week from all around the world!

#FridaysForFuture #c…",2019-01-19T17:07:16.000Z,0.032549746,Fridays4future
"RT @HollyWildChild: Climate strike week 2. For the environment, for the planet and for our future!🐝🌍👊@GretaThunberg @theresa_may @NicolaStu…",2019-01-18T18:53:44.000Z,-0.183028759,Fridays4future
RT @AlexandriaV2005: I'm on @nycRPM with @leemzee today at 5pm EST talking about my @UN #ClimateStrike and how youth can take #ClimateActio…,2019-01-17T20:15:06.000Z,0.085280287,Fridays4future
"RT @AlexandriaV2005: Thank you @nycRPM! I'm so honored by your comparison and enjoyed being a part of your program!
#ClimateStrike #Climate…",2019-01-17T20:15:03.000Z,0.267648602,Fridays4future
